,CustomerKey,GeographyKey,Fullname,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned
19,20,499,Luke Lal,07/03/1978,S,M,40000,0,0,High School,Skilled Manual,0,2
20,21,511,Jordan King,20/09/1978,S,M,40000,0,0,High School,Skilled Manual,0,2
21,22,580,Destiny Wilson,03/09/1978,S,F,40000,0,0,Partial College,Skilled Manual,0,1
22,23,583,Ethan Zhang,12/10/1978,M,M,40000,0,0,Partial College,Skilled Manual,1,1
23,24,582,Seth Edwards,11/10/1978,M,M,40000,0,0,Partial College,Skilled Manual,1,1
24,25,470,Russell Xie,17/09/1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2
25,26,637,Alejandro Beck,23/12/1945,M,M,10000,2,1,Partial High School,Clerical,1,2
26,27,634,Harold Sai,03/04/1946,S,M,30000,2,0,Partial College,Clerical,0,2
27,28,568,Jessie Zhao,07/12/1946,M,M,30000,2,0,Partial College,Clerical,1,2
28,29,554,Jill Jimenez,11/04/1946,M,F,30000,2,0,Partial College,Clerical,1,2
29,30,425,Jimmy Moreno,21/12/1946,M,M,30000,2,0,Partial College,Clerical,1,2
30,31,613,Bethany Yuan,22/02/1947,M,F,10000,2,1,Partial High School,Clerical,1,2
31,32,509,Theresa Ramos,22/08/1947,M,F,20000,4,0,High School,Skilled Manual,1,2
32,33,656,Denise Stone,11/06/1947,M,F,20000,4,0,High School,Skilled Manual,1,2
33,34,512,Jaime Nath,23/09/1947,M,M,20000,4,0,High School,Skilled Manual,1,2
34,35,669,Ebony Gonzalez,19/06/1947,M,F,20000,4,0,High School,Skilled Manual,1,2
35,36,471,Wendy Dominguez,24/02/1948,M,F,10000,2,1,Partial High School,Clerical,1,2
36,37,516,Jennifer Russell,18/12/1978,M,F,60000,0,0,Partial College,Skilled Manual,1,2
37,38,467,Chloe Garcia,27/11/1977,S,F,40000,0,0,Partial High School,Clerical,0,2
38,39,648,Diana Hernandez,23/03/1948,M,F,10000,2,1,Partial High School,Clerical,1,2
39,40,706,Marc Martin,17/12/1948,M,M,30000,3,0,Partial College,Clerical,1,2
40,41,559,Jesse Murphy,01/08/1977,M,M,30000,0,0,Partial College,Skilled Manual,1,2
41,42,633,Amanda Carter,16/10/1977,M,F,60000,0,0,Partial College,Skilled Manual,1,2
42,43,653,Megan Sanchez,13/06/1977,M,F,70000,0,0,Partial College,Skilled Manual,1,2
43,44,633,Nathan Simmons,24/02/1976,M,M,60000,0,0,Partial College,Skilled Manual,1,2
44,45,492,Adam Flores,24/05/1949,M,M,20000,2,1,Partial High School,Clerical,1,2
45,46,509,Leonard Nara,19/05/1950,S,M,30000,3,0,High School,Skilled Manual,0,2
46,47,648,Christine Yuan,22/03/1950,M,F,30000,3,0,High School,Skilled Manual,1,2
47,48,632,Jaclyn Lu,27/02/1950,M,F,30000,3,0,High School,Skilled Manual,0,2
48,49,699,Jeremy Powell,22/11/1950,M,M,30000,3,0,High School,Skilled Manual,1,2
49,50,610,Carol Rai,18/07/1980,S,F,40000,0,0,Partial High School,Clerical,1,2
50,51,493,Alan Zheng,07/09/1951,M,M,30000,3,0,High School,Skilled Manual,1,2
51,52,599,Daniel Johnson,04/08/1951,S,M,30000,3,0,High School,Skilled Manual,0,2
52,53,509,Heidi Lopez,07/08/1951,S,F,40000,2,0,Partial College,Clerical,0,2
53,54,688,Ana Price,20/08/1980,M,F,60000,0,0,Partial College,Skilled Manual,0,2
54,55,632,Deanna Munoz,10/03/1952,M,F,40000,2,0,Partial College,Skilled Manual,1,2
55,56,478,Gilbert Raje,05/03/1952,M,M,40000,2,0,Partial College,Skilled Manual,1,2
56,57,518,Michele Nath,03/04/1953,M,F,40000,3,0,Partial College,Skilled Manual,1,2
57,58,646,Carl Andersen,12/10/1953,M,M,70000,2,0,Graduate Degree,Management,1,2
58,59,628,Marc Diaz,27/04/1954,M,M,80000,2,0,Partial College,Skilled Manual,1,2
59,60,561,Ashlee Andersen,01/04/1954,S,F,80000,2,0,Partial College,Skilled Manual,1,2
60,61,568,Jon Zhou,17/03/1954,M,M,80000,2,0,Partial College,Skilled Manual,1,2
61,62,487,Todd Gao,27/02/1954,M,M,80000,2,0,Partial College,Skilled Manual,1,2
62,63,536,Noah Powell,02/09/1975,M,M,40000,0,0,High School,Skilled Manual,1,2
63,64,677,Angela Murphy,07/04/1975,S,F,40000,0,0,High School,Skilled Manual,1,2
64,65,475,Chase Reed,07/12/1975,M,M,40000,0,0,High School,Skilled Manual,1,2
65,66,643,Jessica Henderson,09/10/1973,M,F,60000,0,0,Partial College,Skilled Manual,0,2
66,67,500,Grace Butler,27/11/1973,M,F,70000,0,0,Partial College,Professional,1,2
67,68,535,Caleb Carter,25/09/1976,S,M,60000,0,0,Partial College,Professional,1,2
68,69,568,Tiffany Liang,23/09/1955,S,F,80000,2,0,High School,Skilled Manual,1,2
69,70,487,Carolyn Navarro,21/09/1955,S,F,80000,2,0,High School,Skilled Manual,0,2
70,71,699,Willie Raji,05/04/1955,M,M,80000,2,0,High School,Skilled Manual,1,2
71,72,637,Linda Serrano,26/06/1955,S,F,80000,2,0,High School,Skilled Manual,1,2
72,73,554,Casey Luo,06/02/1955,S,F,80000,2,0,High School,Skilled Manual,0,2
73,74,553,Amy Ye,14/08/1956,S,F,70000,2,0,High School,Skilled Manual,1,2
74,75,613,Levi Arun,28/08/1956,S,M,70000,2,0,High School,Skilled Manual,1,2
75,76,425,Felicia Jimenez,16/11/1957,S,F,80000,2,0,High School,Professional,1,2
76,77,706,Blake Anderson,13/07/1957,S,M,80000,2,0,High School,Professional,1,2
77,78,510,Leah Ye,19/09/1957,S,F,80000,2,0,High School,Professional,0,2
78,79,467,Gina Martin,10/01/1974,S,F,40000,0,0,High School,Professional,0,2
79,80,632,Donald Gonzalez,11/03/1959,S,M,160000,0,0,Graduate Degree,Management,1,2
80,81,531,Damien Chander,17/07/1959,M,M,170000,0,0,Graduate Degree,Management,1,2
81,82,470,Savannah Baker,24/07/1966,M,F,120000,2,2,Bachellors,Management,1,3
82,83,631,Angela Butler,04/08/1966,S,F,130000,0,1,Graduate Degree,Management,0,3
83,84,505,Alyssa Cox,15/03/1966,M,F,130000,0,1,Graduate Degree,Management,1,3
84,85,500,Lucas Phillips,12/09/1957,S,M,80000,2,0,Partial High School,Skilled Manual,0,2
85,86,667,Emily Johnson,19/07/1957,S,F,60000,2,0,High School,Professional,0,2
86,87,547,Ryan Brown,23/12/1957,M,M,70000,2,1,Partial College,Professional,1,0
87,88,610,Tamara Liang,03/10/1957,M,F,70000,3,2,Partial College,Professional,0,0
88,89,688,Hunter Davis,25/11/1957,M,M,80000,2,1,Bachellors,Management,1,0
89,90,652,Abigail Price,05/02/1957,S,F,80000,2,1,Bachellors,Management,1,1
90,91,653,Trevor Bryant,17/12/1957,S,M,90000,2,0,Partial College,Professional,1,1
91,92,490,Dalton Perez,04/04/1957,M,M,90000,2,0,Partial College,Professional,1,1
92,93,478,Cheryl Diaz,06/05/1967,M,F,90000,2,2,Bachellors,Professional,1,0
93,94,706,Aimee He,10/09/1967,M,F,100000,0,0,Graduate Degree,Management,1,0
94,95,471,Cedric Ma,01/04/1962,S,M,70000,1,0,Partial College,Skilled Manual,0,1
95,96,534,Chad Kumar,01/09/1962,S,M,70000,1,0,Partial College,Skilled Manual,1,1
96,97,669,Andr̩s Anand,10/08/1962,M,M,60000,1,0,Bachellors,Professional,1,1
97,98,568,Edwin Nara,27/10/1961,M,M,60000,1,0,Partial College,Skilled Manual,1,1
98,99,679,Mallory Rubio,01/05/1961,S,F,60000,1,0,Partial College,Skilled Manual,0,1
99,100,534,Adam Ross,08/03/1961,M,M,60000,1,0,Bachellors,Professional,1,1
100,101,613,Latasha Navarro,15/09/1960,S,F,60000,1,0,Partial College,Skilled Manual,1,1
101,102,471,Abby Sai,08/05/1965,S,F,70000,0,0,Bachellors,Professional,0,1
102,103,558,Julia Nelson,21/04/1965,S,F,80000,5,5,Bachellors,Professional,1,4
103,104,473,Cassie Chande,17/10/1964,S,F,70000,0,0,Bachellors,Professional,1,1
104,105,487,Edgar Sara,11/03/1964,M,M,70000,0,0,Bachellors,Professional,0,1
105,106,509,Candace Fernandez,28/12/1964,S,F,70000,0,0,Bachellors,Professional,0,1
106,107,568,Jessie Liu,11/09/1964,S,M,70000,0,0,Bachellors,Professional,0,1
107,108,554,Bianca Lin,09/09/1959,M,F,90000,1,0,Bachellors,Professional,1,1
108,109,534,Kari Alvarez,14/07/1963,S,F,70000,0,0,Bachellors,Professional,0,2
109,110,697,Ruben Kapoor,05/11/1963,S,M,70000,0,0,Bachellors,Professional,0,2
110,111,473,Curtis Yang,06/06/1962,M,M,60000,1,0,Partial College,Skilled Manual,1,1
111,112,632,Meredith Gutierrez,23/02/1962,M,F,60000,1,0,Partial College,Skilled Manual,1,1
112,113,492,Crystal Wang,09/09/1962,M,F,60000,1,0,Partial College,Skilled Manual,1,1
113,114,531,Micheal Blanco,21/02/1962,M,M,70000,5,4,Bachellors,Professional,1,2
114,115,679,Leslie Moreno,28/05/1962,S,F,70000,5,4,Partial College,Skilled Manual,1,2
115,116,554,Alvin Cai,12/02/1962,M,M,70000,5,4,Partial College,Skilled Manual,1,2
116,117,558,Clinton Carlson,07/10/1962,M,M,70000,5,4,Partial College,Skilled Manual,1,2
117,118,509,April Deng,21/02/1961,M,F,70000,5,4,Partial College,Skilled Manual,1,3
118,119,648,Alvin Zeng,03/07/1957,S,M,80000,1,0,Partial College,Skilled Manual,0,1
119,120,534,Evan James,10/04/1935,S,M,30000,2,0,Partial College,Clerical,0,2
120,121,558,Beth Jim̩nez,09/08/1936,S,F,40000,2,0,Bachellors,Management,1,1
121,122,518,Orlando Suarez,18/11/1960,M,M,70000,5,4,Partial College,Skilled Manual,1,3
122,123,669,Byron Vazquez,02/04/1960,M,M,70000,5,4,Partial College,Skilled Manual,1,3
123,124,699,Philip Alvarez,20/06/1960,M,M,70000,5,4,Partial College,Skilled Manual,1,3
124,125,568,Ross Jordan,27/07/1957,S,M,80000,1,0,Partial College,Skilled Manual,1,1
125,126,692,Dana Navarro,08/04/1956,S,F,70000,1,0,Partial College,Skilled Manual,1,1
126,127,519,Shaun Carson,07/04/1949,M,M,10000,2,1,High School,Skilled Manual,0,2
127,128,690,Jan Edwards,21/10/1975,M,F,40000,0,0,High School,Skilled Manual,1,1
128,129,678,Samantha Long,05/12/1975,M,F,40000,0,0,High School,Skilled Manual,1,1
129,130,694,Julia Wright,05/08/1975,S,F,40000,0,0,High School,Skilled Manual,1,1
130,131,500,Caroline Russell,06/01/1980,M,F,30000,0,0,High School,Skilled Manual,1,2
131,132,490,Amanda Rivera,12/03/1980,M,F,30000,0,0,High School,Skilled Manual,0,2
132,133,647,Melissa Richardson,26/10/1980,S,F,30000,0,0,High School,Skilled Manual,0,2
133,134,644,Angela Griffin,08/09/1980,S,F,30000,0,0,Partial High School,Clerical,0,2
134,135,531,Larry Townsend,26/02/1946,S,M,10000,5,0,High School,Skilled Manual,1,2
135,136,445,Marcus Harris,03/11/1979,S,M,30000,0,0,Partial High School,Clerical,0,2
136,137,511,Brianna Morgan,26/10/1978,S,F,40000,0,0,High School,Skilled Manual,0,2
137,138,551,Jasmine Taylor,20/07/1978,M,F,40000,0,0,High School,Skilled Manual,1,2
138,139,633,Lauren Davis,15/09/1978,M,F,40000,0,0,High School,Skilled Manual,0,2
139,140,613,Tanya Moreno,09/11/1938,S,F,30000,2,0,Partial College,Clerical,0,2
140,141,443,Javier Alvarez,11/02/1977,S,M,30000,0,0,Partial High School,Clerical,0,2
141,142,472,Nicole Ramirez,21/06/1977,M,F,40000,0,0,High School,Skilled Manual,0,2
142,143,647,Eduardo Patterson,14/08/1977,S,M,40000,0,0,High School,Skilled Manual,0,2
143,144,645,Jonathan Henderson,04/02/1977,M,M,40000,0,0,High School,Skilled Manual,1,2
144,145,577,Edward Hernandez,09/09/1979,S,M,40000,0,0,High School,Skilled Manual,0,2
145,146,580,Jasmine Coleman,08/12/1979,S,F,40000,0,0,High School,Skilled Manual,0,2
146,147,509,Karla Goel,26/08/1939,S,F,40000,2,0,Bachellors,Management,1,2
147,148,568,Ernest Wu,05/02/1939,M,M,60000,2,0,Graduate Degree,Management,1,1
148,149,478,Ross Vazquez,16/08/1941,M,M,40000,2,0,Bachellors,Management,1,2
149,150,492,Theodore Gill,20/04/1941,M,M,40000,2,0,Bachellors,Management,1,2
150,151,699,Russell Shen,15/03/1941,S,M,40000,2,0,Bachellors,Management,1,2
151,152,558,Melinda Gill,25/02/1942,S,F,60000,2,0,Graduate Degree,Management,0,1
152,153,537,James Williams,10/01/1976,S,M,40000,0,0,High School,Skilled Manual,1,2
153,154,678,Angela James,23/06/1976,M,F,40000,0,0,High School,Skilled Manual,1,2
154,155,573,Megan Walker,21/08/1976,S,F,40000,0,0,Partial College,Skilled Manual,1,1
155,156,443,Hunter Robinson,26/01/1976,S,M,40000,0,0,Partial College,Skilled Manual,0,1
156,157,645,Maria Roberts,07/02/1976,S,F,40000,0,0,Partial College,Skilled Manual,0,1
157,158,559,Hannah Long,11/06/1975,M,F,40000,0,0,High School,Skilled Manual,1,2
158,159,690,Jason Wright,08/10/1975,S,M,40000,0,0,High School,Skilled Manual,1,2
159,160,707,Brianna Hughes,17/09/1975,S,F,40000,0,0,High School,Skilled Manual,0,2
160,161,470,Maurice Tang,08/01/1974,S,M,40000,0,0,Partial College,Skilled Manual,0,1
161,162,470,Emily Wood,22/04/1974,S,F,40000,0,0,Partial College,Skilled Manual,0,1
162,163,643,Chase Cox,05/03/1974,S,M,40000,0,0,Partial College,Skilled Manual,1,1
163,164,552,Gabriel Wang,20/12/1974,M,M,40000,0,0,Partial College,Skilled Manual,1,1
164,165,560,Devin Brooks,05/05/1974,S,M,40000,0,0,Partial College,Skilled Manual,0,1
165,166,520,Jocelyn Alexander,18/07/1973,M,F,60000,0,0,Partial College,Skilled Manual,0,1
166,167,522,Ashley Martinez,24/04/1972,S,F,70000,0,0,Partial College,Skilled Manual,0,2
167,168,495,Jasmine Barnes,01/08/1972,S,F,80000,0,0,Bachellors,Management,0,1
168,169,520,David Rodriguez,15/05/1968,S,M,80000,0,0,Bachellors,Management,0,1
169,170,619,Bryce Richardson,22/06/1968,M,M,90000,4,4,Bachellors,Management,1,1
170,171,597,Carol Howard,05/02/1968,M,F,90000,4,4,Bachellors,Management,1,1
171,172,707,Jonathan Hill,09/10/1967,S,M,100000,1,0,Bachellors,Management,1,2
172,173,507,Gabrielle Adams,21/11/1967,M,F,100000,1,0,Bachellors,Management,1,2
173,174,703,Sarah Thomas,01/09/1967,S,F,110000,0,0,Graduate Degree,Management,0,4
174,175,653,Nicholas Robinson,13/07/1967,M,M,110000,0,1,Graduate Degree,Management,1,0
175,176,430,Luis Wang,05/03/1963,S,M,70000,0,0,Partial College,Skilled Manual,1,2
176,177,490,Mason Roberts,25/01/1968,M,M,90000,4,4,Bachellors,Management,1,1
177,178,688,Jose Flores,04/07/1942,M,M,110000,2,4,Graduate Degree,Management,1,2
178,179,645,Nathan Johnson,24/08/1943,M,M,100000,2,3,Graduate Degree,Management,1,3
179,180,430,Molly Rodriguez,14/06/1943,M,F,120000,2,4,Graduate Degree,Management,1,3
180,181,610,April Anand,02/01/1943,M,F,160000,1,3,Bachellors,Management,1,4
181,182,653,Devin Martin,08/08/1943,M,M,170000,2,3,Graduate Degree,Management,1,2
182,183,694,Stephanie Torres,25/08/1944,S,F,70000,4,0,Bachellors,Management,1,2
183,184,691,Jasmine Lee,15/07/1944,S,F,70000,4,0,Bachellors,Management,1,2
184,185,470,Meghan Hernandez,16/11/1944,S,F,70000,4,0,Bachellors,Management,1,2
185,186,511,Ashley Henderson,08/10/1944,S,F,70000,4,0,Bachellors,Management,1,2
186,187,527,Sarah Price,21/05/1944,S,F,70000,4,0,Bachellors,Management,1,2
187,188,597,Jennifer Cooper,22/02/1944,M,F,60000,4,0,Graduate Degree,Management,1,2
188,189,690,Catherine Morris,06/09/1944,M,F,60000,4,0,Graduate Degree,Management,0,2
189,190,583,Lawrence Blanco,15/07/1944,S,M,60000,4,0,Graduate Degree,Management,1,2
190,191,430,Carson Bryant,22/06/1944,M,M,70000,5,0,Bachellors,Management,1,2
191,192,469,Kristi Perez,18/12/1945,S,F,70000,5,0,Bachellors,Management,1,3
192,193,693,James Brown,13/09/1945,M,M,60000,4,0,Bachellors,Management,1,2
193,194,573,Ian Gray,13/02/1945,M,M,60000,4,0,Bachellors,Management,1,2
194,195,527,Jacqueline Price,10/06/1945,M,F,60000,4,0,Bachellors,Management,1,2
195,196,678,Megan Henderson,10/02/1946,M,F,60000,5,0,Bachellors,Management,1,3
196,197,580,Alfredo Romero,07/06/1946,M,M,60000,5,0,Bachellors,Management,1,3
197,198,693,Andrea Morris,18/06/1946,M,F,70000,3,1,Bachellors,Management,0,1
198,199,691,Brooke Sanders,26/11/1946,S,F,70000,4,1,Bachellors,Management,1,1
199,200,445,Jacqueline Bennett,06/11/1946,M,F,70000,4,1,Bachellors,Management,1,1
200,201,701,Jason Griffin,22/11/1947,M,M,70000,4,1,Bachellors,Management,1,1
201,202,547,Amanda Foster,18/08/1947,M,F,70000,4,1,Bachellors,Management,1,1
202,203,645,Alexia Price,26/08/1947,M,F,80000,5,0,Bachellors,Management,0,2
203,204,675,Luis Diaz,21/08/1948,M,M,40000,2,1,High School,Professional,1,2
204,205,580,Destiny Rivera,01/06/1948,M,F,40000,2,1,High School,Professional,1,2
205,206,597,Abby Fernandez,24/07/1948,M,F,40000,2,1,High School,Professional,1,2
206,207,507,Blake Flores,24/09/1948,M,M,60000,2,1,Partial College,Professional,1,1
207,208,678,Danielle Cox,19/07/1948,S,F,60000,2,1,Partial College,Professional,1,1
208,209,633,Maria Reed,04/02/1948,M,F,60000,2,1,Bachellors,Management,1,0
209,210,505,Allison Evans,13/01/1948,M,F,60000,2,1,Bachellors,Management,1,0
210,211,570,Edward Wood,08/06/1948,M,M,70000,4,1,Partial College,Professional,1,2
211,212,490,Samantha Russell,12/10/1949,M,F,40000,2,1,High School,Professional,1,2
212,213,511,Chloe Campbell,05/11/1949,M,F,40000,2,1,High School,Professional,1,2
213,214,479,Stephanie Murphy,14/05/1949,S,F,60000,2,1,Partial College,Professional,1,2
214,215,660,Charles Miller,07/11/1949,S,M,60000,2,1,Partial College,Professional,1,2
215,216,682,Ana Perry,21/06/1950,M,F,40000,2,1,Partial High School,Skilled Manual,1,2
216,217,536,Jasmine Torres,20/05/1950,S,F,60000,2,1,Partial College,Professional,1,2
217,218,536,Natalie Adams,11/02/1950,S,F,60000,2,1,Partial College,Professional,1,2
218,219,559,Olivia Brown,11/09/1950,S,F,60000,2,1,Partial College,Professional,0,2
219,220,573,Charles Cook,02/12/1950,M,M,60000,2,1,High School,Professional,1,2
220,221,469,Erica Huang,23/02/1950,M,F,60000,2,1,Partial College,Professional,1,1
221,222,645,Nathan Perry,10/06/1950,M,M,70000,4,2,Partial College,Professional,1,1
222,223,547,Alexandra Rivera,17/08/1950,M,F,80000,3,1,Bachellors,Management,1,1
223,224,499,Hailey Patterson,16/09/1951,S,F,70000,2,1,High School,Professional,1,2
224,225,597,Tiffany Li,06/09/1951,S,F,70000,2,1,High School,Professional,1,2
225,226,678,Madison Lee,16/02/1951,M,F,60000,2,1,Partial College,Professional,1,1
226,227,703,Sydney Ross,27/09/1951,M,F,60000,2,1,Partial College,Professional,1,1
227,228,469,Marshall Chavez,12/08/1951,S,M,60000,2,1,Partial College,Professional,1,2
228,229,625,Ashley Jones,19/04/1951,M,F,60000,2,1,Partial College,Professional,1,2
229,230,538,Adrian Stewart,03/12/1951,S,M,70000,4,2,Partial College,Professional,1,1
230,231,547,Amber Turner,03/04/1951,M,F,70000,4,2,Partial College,Professional,0,2
231,232,442,Dennis Zhang,14/11/1952,M,M,60000,2,1,High School,Professional,1,2
232,233,627,Hailey Bryant,27/09/1952,M,F,60000,3,1,High School,Professional,0,2
233,234,584,Todd Li,09/09/1952,M,M,70000,4,2,Partial College,Professional,1,2
234,235,652,Anna Griffin,19/11/1952,S,F,70000,4,2,Partial College,Professional,1,2
235,236,577,Angel Stewart,08/02/1952,M,M,70000,4,2,Partial College,Professional,1,2
236,237,583,Jeremy Butler,05/03/1952,S,M,70000,5,2,Partial College,Professional,1,2
237,238,696,Clarence Anand,23/09/1958,S,M,130000,2,3,Bachellors,Management,0,4
238,239,588,Mayra Prasad,10/08/1958,S,F,130000,2,3,Bachellors,Management,0,4
239,240,506,Latoya Goel,06/10/1958,M,F,130000,2,4,Partial College,Professional,0,2
240,241,704,Anne Hernandez,11/12/1958,M,F,160000,2,3,Partial College,Professional,1,4
241,242,503,Lisa Cai,11/10/1957,S,F,100000,2,3,Partial College,Professional,1,4
242,243,564,Larry Munoz,11/11/1957,M,M,110000,2,4,Partial College,Professional,1,3
243,244,481,Robin Alvarez,09/10/1957,M,F,150000,2,3,Partial College,Professional,1,3
244,245,541,Alexis Coleman,26/11/1957,S,F,170000,2,3,Bachellors,Management,0,3
245,246,662,Ricky Vazquez,27/10/1956,M,M,120000,3,4,High School,Professional,0,4
246,247,662,Latasha Rubio,09/10/1956,M,F,120000,3,4,High School,Professional,0,4
247,248,498,Claudia Zhou,06/06/1956,S,F,130000,3,4,Partial College,Professional,0,3
248,249,545,Tristan Alexander,26/03/1955,M,M,110000,3,4,Partial College,Professional,1,4
249,250,556,Cindy Patel,13/07/1955,M,F,130000,3,4,Partial College,Professional,1,3
250,251,574,Shannon Liu,12/03/1955,M,F,170000,3,4,High School,Professional,1,2
251,252,490,Xavier Long,04/07/1932,S,M,30000,4,0,High School,Professional,0,2
252,253,502,Nicholas Thompson,07/06/1932,S,M,90000,3,0,Graduate Degree,Management,1,1
253,254,701,Jos̩ Hernandez,28/02/1933,M,M,60000,2,0,Graduate Degree,Management,1,2
254,255,597,Johnathan Vance,03/03/1933,M,M,70000,4,0,Graduate Degree,Management,1,2
255,256,597,Colin Lin,04/04/1933,M,M,70000,4,0,Graduate Degree,Management,1,2
256,257,507,Katelyn Hernandez,20/09/1933,M,F,70000,4,0,Graduate Degree,Management,1,2
257,258,667,Jacqueline Powell,06/01/1933,S,F,120000,1,2,Graduate Degree,Management,1,4
258,259,527,Xavier Hill,28/06/1933,M,M,120000,1,2,Graduate Degree,Management,1,4
259,260,686,Victoria Stewart,27/03/1965,M,F,100000,4,1,Partial College,Professional,1,4
260,261,445,Katelyn Kelly,12/04/1965,M,F,110000,2,2,Bachellors,Management,1,3
261,262,688,Stephanie Collins,24/04/1965,M,F,130000,1,2,Graduate Degree,Management,1,1
262,263,675,Jennifer Simmons,04/05/1964,M,F,80000,4,3,Bachellors,Management,1,0
263,264,597,Trinity Richardson,11/09/1964,M,F,90000,5,5,Partial College,Professional,1,3
264,265,495,Eduardo Martin,17/06/1964,S,M,90000,5,5,Partial College,Professional,0,3
265,266,642,Elizabeth Jones,13/07/1964,M,F,90000,5,5,Partial College,Professional,1,3
266,267,535,Taylor Howard,05/05/1964,S,F,90000,0,0,Partial College,Professional,0,1
267,268,445,David Diaz,02/10/1964,S,M,120000,4,2,Partial College,Professional,1,4
268,269,619,Katelyn Carter,03/05/1964,M,F,130000,2,2,Graduate Degree,Management,1,2
269,270,472,Ryan Foster,13/10/1964,M,M,130000,2,2,Graduate Degree,Management,1,2
270,271,645,Robert Lee,04/05/1964,M,M,130000,2,2,Graduate Degree,Management,1,3
271,272,689,Danielle Reed,05/06/1964,S,F,150000,2,0,Bachellors,Management,0,4
272,273,430,Lauren Martinez,10/11/1956,S,F,70000,4,3,Partial College,Professional,1,0
273,274,643,Nathan Lal,01/10/1956,M,M,90000,2,1,Partial College,Professional,1,0
274,275,583,Kyle Foster,12/04/1934,M,M,50000,2,0,Graduate Degree,Management,1,2
275,276,469,Jenny Rai,18/01/1934,M,F,80000,4,0,Graduate Degree,Management,1,2
276,277,467,Nancy Chapman,19/09/1963,M,F,80000,4,3,Partial College,Professional,1,2
277,278,682,Charles Jackson,10/06/1963,M,M,80000,4,3,Partial College,Professional,1,2
278,279,479,Jonathan Phillips,20/08/1963,S,M,90000,0,0,Partial College,Professional,0,1
279,280,627,Amanda Cook,12/09/1963,M,F,90000,0,0,Partial College,Professional,1,1
280,281,507,Robert Collins,21/08/1963,M,M,90000,0,0,Partial College,Professional,1,1
281,282,443,Megan Barnes,10/10/1963,S,F,110000,4,2,Bachellors,Management,1,4
282,283,597,Christian Thomas,16/01/1962,M,M,90000,5,4,Partial College,Professional,1,4
283,284,584,Arturo Lal,26/10/1962,M,M,110000,1,3,Bachellors,Management,1,2
284,285,610,Theresa Serrano,27/03/1962,M,F,110000,1,3,Bachellors,Management,1,2
285,286,631,Jeremy Anderson,19/03/1962,M,M,120000,1,3,Partial College,Professional,0,4
286,287,560,Hunter Griffin,03/03/1962,M,M,170000,0,0,Graduate Degree,Management,1,4
287,288,467,Henry Garcia,16/01/1961,M,M,70000,5,4,Partial College,Professional,0,3
288,289,443,Cindy Sanchez,16/09/1961,M,F,110000,1,3,Bachellors,Management,1,3
289,290,475,Maria Carter,07/03/1961,M,F,130000,1,3,Bachellors,Management,1,1
290,291,645,Katelyn Sanchez,18/08/1961,M,F,130000,1,3,Bachellors,Management,1,3
291,292,502,Jenna Wright,05/05/1961,M,F,130000,1,3,Bachellors,Management,1,3
292,293,690,Seth Phillips,05/11/1961,S,M,150000,1,2,Partial College,Professional,0,3
293,294,535,Luke Long,27/05/1955,S,M,60000,2,0,High School,Professional,0,2
294,295,495,Dalton Clark,03/09/1955,M,M,60000,2,0,High School,Professional,0,2
295,296,470,Taylor Lewis,16/05/1954,S,F,80000,2,0,Partial High School,Skilled Manual,1,2
